,company_name,security,sector
218,COMMERCIAL BANK OF CEYLON PLC [Non-Voting],COMB.X0000,4010
219,C M HOLDINGS PLC,COLO.N0000,2550
220,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,4020
221,RENUKA FOODS PLC [Non-Voting],COCO.X0000,3020
222,RENUKA FOODS PLC,COCO.N0000,3020
223,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,6020
224,WASKADUWA BEACH RESORT PLC,CITW.N0000,2530
225,CENTRAL INDUSTRIES PLC,CIND.N0000,2010
226,CEYLINCO HOLDINGS PLC,CINS.N0000,4030
227,CEYLON INVESTMENT PLC,CINV.N0000,4020
228,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,4020
229,HIKKADUWA BEACH RESORT PLC,CITH.N0000,2530
230,CEYLINCO HOLDINGS PLC [Non-Voting],CINS.X0000,4030
231,C I C HOLDINGS PLC [Non-Voting],CIC.X0000,1510
232,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,2530
233,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,4020
234,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,2010
235,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,4020
236,CEYLON HOSPITALS PLC [Non-Voting],CHL.X0000,3510
237,CHEMANEX PLC,CHMX.N0000,1510
238,C I C HOLDINGS PLC,CIC.N0000,1510
239,CEYLON HOSPITALS PLC,CHL.N0000,3510
240,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,4020
241,LANKA CERAMIC PLC,CERA.N0000,2010
242,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC [Non-Voting],CDB.X0000,4020
243,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,4020
244,CEYLON COLD STORES PLC,CCS.N0000,3020
245,CARSON CUMBERBATCH PLC,CARS.N0000,3020
246,PRINTCARE PLC,CARE.N0000,2020
247,CARGILLS (CEYLON) PLC,CARG.N0000,3010
248,DIALOG FINANCE PLC,CALF.N0000,4020
249,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,6020
250,BUKIT DARAH PLC,BUKI.N0000,3020
251,BROWN & COMPANY PLC,BRWN.N0000,2010
252,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2530
253,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,3020
254,B P P L HOLDINGS PLC,BPPL.N0000,3030
255,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,3020
256,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1510
257,BROWNS INVESTMENTS PLC,BIL.N0000,3020
258,ORIENT FINANCE PLC,BFN.N0000,4020
259,BAIRAHA FARMS PLC,BFL.N0000,3020
260,BERUWALA RESORTS PLC,BERU.N0000,2530
261,BROWNS BEACH HOTELS PLC,BBH.N0000,2530
262,BALANGODA  PLANTATIONS  PLC,BALA.N0000,3020
263,THE AUTODROME PLC,AUTO.N0000,2550
264,AMANA TAKAFUL LIFE PLC,ATLL.N0000,4030
265,AMANA TAKAFUL PLC,ATL.N0000,4030
266,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,1510
267,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4020
268,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,3510
269,LANKA ASHOK LEYLAND PLC,ASHO.N0000,2010
270,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,6020
271,ACL PLASTICS PLC,APLA.N0000,1510
272,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,3510
273,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,4020
274,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,4020
275,ALUMEX PLC,ALUM.N0000,1510
276,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4020
277,ARPICO INSURANCE PLC,AINS.N0000,4030
278,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,2530
279,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,2530
280,AGSTAR PLC [Non-Voting],AGST.X0000,1510
281,AGSTAR PLC,AGST.N0000,1510
282,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,3020
283,ACCESS ENGINEERING PLC,AEL.N0000,2010
284,ACME PRINTING & PACKAGING PLC,ACME.N0000,1510
285,ABANS FINANCE PLC,AFSL.N0000,4020
286,ACL CABLES PLC,ACL.N0000,2010
287,AMANA BANK PLC,ABL.N0000,4010
288,ASIA CAPITAL PLC,ACAP.N0000,4020
289,ABANS ELECTRICALS PLC,ABAN.N0000,2520
290,ASIA ASSET FINANCE PLC [Preference-0000],AAF.P0000,4020
291,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,4030
292,ASIA ASSET FINANCE PLC,AAF.N0000,4020
293,DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000C`,
294,CABLE SOLUTIONS PLC,CSLK.N0000C`,
295,MAHARAJA FOODS PLC,MFPE.N0000C`,
296,CAL FIVE YEAR OPTIMUM FUND [Fund],CALI.U0000C`,
297,CARGILLS BANK PLC,CBNK.N0000C`,
298,AGARAPATANA PLANTATIONS PLC,AGPL.N0000C`,
299,UB FINANCE PLC,UBF.N0000C`,
300,LUMINEX PLC,LUMX.N0000C`,
301,ALPHA FIRE SERVICES LIMITED,AFS.N0000C`,
302,EXTERMINATORS PLC,EXT.N0000C`,
303,HELA APPAREL HOLDINGS PLC,HELA.N0000C`,
304,KAPRUKA HOLDINGS PLC,KPHL.N0000C`,
305,CO-OPERATIVE INSURANCE COMPANY PLC,COOP.N0000C`,
306,LOLC GENERAL INSURANCE PLC,LGIL.N0000C`,
307,MYLAND DEVELOPMENTS PLC,MDL.N0000C`,
308,LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000C`,
309,SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000C`,
310,FIRST CAPITAL TREASURIES PLC,FCT.N0000C`,
311,hSENID BUSINESS SOLUTIONS PLC,HBS.N0000C`,
312,CAPITAL ALLIANCE PLC,CALT.N0000C`,
313,EX-PACK CORRUGATED CARTONS PLC,PACK.N0000C`,
314,E M L CONSULTANTS PLC,EML.N0000C`,
315,YORK ARCADE HOLDINGS PLC,YORK.N0000C`,
316,WINDFORCE PLC,WIND.N0000C`,
317,WATAWALA  PLANTATIONS  PLC,WATA.N0000C`,
318,GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000C`,
319,VALLIBEL POWER ERATHNA PLC,VPEL.N0000C`,
320,VALLIBEL ONE PLC,VONE.N0000C`,
321,VIDULLANKA PLC [Non-Voting],VLL.X0000C`,
322,VIDULLANKA PLC,VLL.N0000C`,
323,VALLIBEL FINANCE PLC,VFIN.N0000C`,
324,UNITED MOTORS LANKA PLC,UML.N0000C`,
325,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000C`,
326,UNION ASSURANCE PLC,UAL.N0000C`,
327,UNION CHEMICALS LANKA PLC,UCAR.N0000C`,
328,UNION BANK OF COLOMBO PLC,UBC.N0000C`,
329,KELANI TYRES PLC,TYRE.N0000C`,
330,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000C`,
331,TRANS ASIA HOTELS PLC,TRAN.N0000C`,
332,TALAWAKELLE TEA ESTATES PLC,TPL.N0000C`,
333,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000C`,
334,TOKYO CEMENT COMPANY (LANKA) PLC [Non-Voting],TKYO.X0000C`,
335,TEEJAY LANKA PLC,TJL.N0000C`,
336,LANKA TILES PLC,TILE.N0000C`,
337,TESS AGRO PLC [Non-Voting],TESS.X0000C`,
338,TESS AGRO PLC,TESS.N0000C`,
